Call type,Call Sub-type,Batallion 1 Total Calls,Batallion 1 Total Units Resp.,Batallion 2 Total Calls,Batallion 2 Total Units Resp.,Batallion 3 Total Calls,Batallion 3 Total Units Resp.,Batallion 4 Total Calls,Batallion 4 Total Units Resp.,Other Total Calls,Other Total Units Resp.,Week #,Year
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,12,2014
FALSE ALARM,Other False alarms,44,99,37,81,28,63,30,70,,,12,2014
TRAINING,Training ,,,,,,,,,,,12,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,12,2014
TRAINING,Other events,,,,,,,,,,,12,2014
INSPECTION,Initial Inspections,,,,,,,,,36,,12,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,103,,12,2014
INSPECTION,Registrations,,,,,,,,,,,12,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,,,,,,,,,,,12,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,12,2014
FINES,Fines Imposed,,,,,,,,,,,12,2014
FINES,Fines collected,,,,,,,,,,,12,2014
RESIDENTIAL,Private Dwellings,,,1,10,1,10,1,8,,,13,2014
RESIDENTIAL,Apartments,2,14,2,14,2,21,3,28,,,13,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,13,2014
RESIDENTIAL,All Other Residential,1,5,,,,,2,12,,,13,2014
STRUCTURE FIRE,Public Assembly,,,,,,,,,,,13,2014
STRUCTURE FIRE,Schools and Colleges,1,7,1,7,,,1,7,,,13,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,13,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,13,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,13,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,13,2014
STRUCTURE FIRE,Other Structures,,,,,1,1,,,,,13,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,1,2,,,13,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,13,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",1,10,,,,,,,,,13,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",1,1,,,,,1,1,,,13,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,13,1,10,1,9,,,,,13,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,13,2014
EMERGENCY RESPONSE,Emergency Medical Responses,51,54,83,86,50,55,49,56,,,13,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,13,2014
HAZARD,Hazardous Materials,3,29,9,37,3,19,3,3,,,13,2014
HAZARD,Other HazMat Responses,3,4,7,21,7,29,4,7,,,13,2014
FALSE ALARM,False Alarms (system malfunction/accidental),18,75,14,77,9,30,13,55,,,13,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,13,2014
FALSE ALARM,Other False alarms,35,80,41,67,52,75,20,26,,,13,2014
TRAINING,Training ,,,,,,,,,,,13,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,13,2014
TRAINING,Other events,,,,,,,,,,,13,2014
INSPECTION,Initial Inspections,,,,,,,,,13,,13,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,112,,13,2014
INSPECTION,Registrations,,,,,,,,,,,13,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,8,9,,,,,,,,,13,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,13,2014
FINES,Fines Imposed,,,,,,,,,,,13,2014
FINES,Fines collected,,,,,,,,,,,13,2014
RESIDENTIAL,Private Dwellings,1,11,3,24,,,1,4,,,14,2014
RESIDENTIAL,Apartments,9,54,5,39,1,4,6,44,,,14,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,14,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,14,2014
STRUCTURE FIRE,Public Assembly,,,,,,,,,,,14,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,14,2014
STRUCTURE FIRE,Health Care and Penal Institutions,1,15,1,4,,,,,,,14,2014
STRUCTURE FIRE,Stores and Offices,1,16,,,,,,,,,14,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,14,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,14,2014
STRUCTURE FIRE,Other Structures,,,,,1,1,,,,,14,2014
NON-STRUCTURE FIRE,Highway vehicles,,,1,3,1,2,,,,,14,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,14,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,14,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,1,16,,,,,,,14,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,,,,,14,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,14,2014
EMERGENCY RESPONSE,Emergency Medical Responses,56,57,101,105,60,61,71,75,,,14,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,14,2014
HAZARD,Hazardous Materials,10,54,10,49,4,25,2,17,,,14,2014
HAZARD,Other HazMat Responses,5,6,3,12,2,2,3,12,,,14,2014
FALSE ALARM,False Alarms (system malfunction/accidental),9,38,11,59,8,42,16,70,,,14,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,14,2014
FALSE ALARM,Other False alarms,47,63,40,73,29,47,23,54,,,14,2014
TRAINING,Training ,,,,,,,,,,,14,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,14,2014
TRAINING,Other events,,,,,,,,,,,14,2014
INSPECTION,Initial Inspections,,,,,,,,,23,,14,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,100,,14,2014
INSPECTION,Registrations,,,,,,,,,,,14,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,,,,,,,,,,,14,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,14,2014
FINES,Fines Imposed,,,,,,,,,,,14,2014
FINES,Fines collected,,,,,,,,,,,14,2014
RESIDENTIAL,Private Dwellings,1,4,5,43,1,4,2,19,,,16,2014
RESIDENTIAL,Apartments,6,35,3,26,5,52,3,18,,,16,2014
RESIDENTIAL,Hotels and Motels,,,,,,,1,4,,,16,2014
RESIDENTIAL,All Other Residential,2,5,1,10,,,1,8,,,16,2014
STRUCTURE FIRE,Public Assembly,,,,,2,5,,,,,16,2014
STRUCTURE FIRE,Schools and Colleges,,,1,7,,,,,,,16,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,16,2014
STRUCTURE FIRE,Stores and Offices,,,1,11,,,,,,,16,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,16,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,16,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,16,2014
NON-STRUCTURE FIRE,Highway vehicles,,,1,2,,,,,,,16,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,16,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",1,1,1,10,,,,,,,16,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,1,12,,,,,16,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,2,1,10,,,1,1,,,16,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,16,2014
EMERGENCY RESPONSE,Emergency Medical Responses,49,57,77,81,39,43,41,49,,,16,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,16,2014
HAZARD,Hazardous Materials,1,3,4,11,1,8,1,8,,,16,2014
HAZARD,Other HazMat Responses,5,30,5,19,4,19,5,34,,,16,2014
FALSE ALARM,False Alarms (system malfunction/accidental),19,86,11,48,6,27,7,26,,,16,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,16,2014
FALSE ALARM,Other False alarms,34,44,24,64,30,41,41,87,,,16,2014
TRAINING,Training ,,,,,,,,,,,16,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,16,2014
TRAINING,Other events,,,,,,,,,,,16,2014
INSPECTION,Initial Inspections,,,,,,,,,30,,16,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,149,,16,2014
INSPECTION,Registrations,,,,,,,,,,,16,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,6,6,,,,,,,,,16,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,16,2014
FINES,Fines Imposed,,,,,,,,,,,16,2014
FINES,Fines collected,,,,,,,,,,,16,2014
RESIDENTIAL,Private Dwellings,,,6,50,1,12,,,,,17,2014
RESIDENTIAL,Apartments,4,34,3,29,3,12,,,,,17,2014
RESIDENTIAL,Hotels and Motels,1,4,,,,,,,,,17,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,17,2014
STRUCTURE FIRE,Public Assembly,,,,,2,6,,,,,17,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,17,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,17,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,17,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,17,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,17,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,17,2014
NON-STRUCTURE FIRE,Highway vehicles,,,1,2,1,4,,,,,17,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,17,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,1,1,,,1,1,,,17,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",9,19,10,39,1,1,2,6,,,17,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",2,2,2,11,,,1,4,,,17,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,17,2014
EMERGENCY RESPONSE,Emergency Medical Responses,34,39,102,105,31,37,57,61,,,17,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,17,2014
HAZARD,Hazardous Materials,,,5,13,2,15,2,9,,,17,2014
HAZARD,Other HazMat Responses,5,27,5,10,13,29,5,19,,,17,2014
FALSE ALARM,False Alarms (system malfunction/accidental),17,74,5,14,6,27,11,49,,,17,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,17,2014
FALSE ALARM,Other False alarms,39,44,38,88,25,38,34,55,,,17,2014
TRAINING,Training ,,,,,,,,,,,17,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,17,2014
TRAINING,Other events,,,,,,,,,,,17,2014
INSPECTION,Initial Inspections,,,,,,,,,21,,17,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,118,,17,2014
INSPECTION,Registrations,,,,,,,,,,,17,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,3,3,,,,,,,,,17,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,17,2014
FINES,Fines Imposed,,,,,,,,,,,17,2014
FINES,Fines collected,,,,,,,,,,,17,2014
RESIDENTIAL,Private Dwellings,,,3,21,1,12,1,10,,,18,2014
RESIDENTIAL,Apartments,7,42,5,46,4,16,,,,,18,2014
RESIDENTIAL,Hotels and Motels,1,4,,,,,,,,,18,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,18,2014
STRUCTURE FIRE,Public Assembly,1,16,,,1,4,,,,,18,2014
STRUCTURE FIRE,Schools and Colleges,1,7,,,,,,,,,18,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,18,2014
STRUCTURE FIRE,Stores and Offices,,,,,1,3,,,,,18,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,18,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,18,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,18,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,1,2,1,2,,,18,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,18,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,18,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",8,18,7,25,1,1,1,4,,,18,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,1,3,12,,,1,2,,,18,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,18,2014
EMERGENCY RESPONSE,Emergency Medical Responses,64,74,144,159,60,66,88,93,,,18,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,18,2014
HAZARD,Hazardous Materials,1,1,5,11,5,26,7,31,,,18,2014
HAZARD,Other HazMat Responses,10,41,7,10,19,53,8,24,,,18,2014
FALSE ALARM,False Alarms (system malfunction/accidental),44,219,25,102,17,77,20,94,,,18,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,18,2014
FALSE ALARM,Other False alarms,64,106,58,125,141,177,65,111,,,18,2014
TRAINING,Training ,,,,,,,,,,,18,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,18,2014
TRAINING,Other events,,,,,,,,,,,18,2014
INSPECTION,Initial Inspections,,,,,,,,,30,,18,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,129,,18,2014
INSPECTION,Registrations,,,,,,,,,,,18,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,5,5,,,,,,,,,18,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,18,2014
FINES,Fines Imposed,,,,,,,,,,,18,2014
FINES,Fines collected,,,,,,,,,,,18,2014
RESIDENTIAL,Private Dwellings,,,3,25,1,4,1,20,,,19,2014
RESIDENTIAL,Apartments,3,12,1,11,3,26,6,58,,,19,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,19,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,19,2014
STRUCTURE FIRE,Public Assembly,1,1,1,1,,,1,4,,,19,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,19,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,19,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,19,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,1,10,,,,,19,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,19,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,19,2014
NON-STRUCTURE FIRE,Highway vehicles,,,1,2,,,1,2,,,19,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,19,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,19,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",1,10,2,2,,,,,,,19,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,1,1,,,,,,,19,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,19,2014
EMERGENCY RESPONSE,Emergency Medical Responses,39,42,93,98,30,34,41,49,,,19,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,19,2014
HAZARD,Hazardous Materials,6,22,8,36,5,40,5,19,,,19,2014
HAZARD,Other HazMat Responses,6,24,2,11,4,13,6,15,,,19,2014
FALSE ALARM,False Alarms (system malfunction/accidental),21,103,15,61,13,55,12,51,,,19,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,19,2014
FALSE ALARM,Other False alarms,36,72,41,61,22,44,29,52,,,19,2014
TRAINING,Training ,,,,,,,,,,,19,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,19,2014
TRAINING,Other events,,,,,,,,,,,19,2014
INSPECTION,Initial Inspections,,,,,,,,,35,,19,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,77,,19,2014
INSPECTION,Registrations,,,,,,,,,,,19,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,16,25,,,,,,,,,19,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,19,2014
FINES,Fines Imposed,,,,,,,,,,,19,2014
FINES,Fines collected,,,,,,,,,,,19,2014
RESIDENTIAL,Private Dwellings,,,,,,,,,,,20,2014
RESIDENTIAL,Apartments,4,16,1,4,2,8,5,38,,,20,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,20,2014
RESIDENTIAL,All Other Residential,,,2,17,,,,,,,20,2014
STRUCTURE FIRE,Public Assembly,,,,,1,1,,,,,20,2014
STRUCTURE FIRE,Schools and Colleges,,,1,7,,,,,,,20,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,1,4,,,,,,,20,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,20,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,20,2014
STRUCTURE FIRE,Storage in Structures,,,1,20,,,,,,,20,2014
STRUCTURE FIRE,Other Structures,,,1,10,,,1,1,,,20,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,20,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,20,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,20,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,1,1,,,,,20,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,1,10,,,20,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,20,2014
EMERGENCY RESPONSE,Emergency Medical Responses,30,36,80,82,41,43,48,54,,,20,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,20,2014
HAZARD,Hazardous Materials,5,19,2,11,3,3,3,18,,,20,2014
HAZARD,Other HazMat Responses,4,9,6,21,3,4,1,5,,,20,2014
FALSE ALARM,False Alarms (system malfunction/accidental),16,69,12,57,12,59,21,99,,,20,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,20,2014
FALSE ALARM,Other False alarms,30,49,71,94,39,76,26,37,,,20,2014
TRAINING,Training ,,,,,,,,,,,20,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,20,2014
TRAINING,Other events,,,,,,,,,,,20,2014
INSPECTION,Initial Inspections,,,,,,,,,42,,20,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,88,,20,2014
INSPECTION,Registrations,,,,,,,,,,,20,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,4,4,,,,,,,,,20,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,20,2014
FINES,Fines Imposed,,,,,,,,,,,20,2014
FINES,Fines collected,,,,,,,,,,,20,2014
RESIDENTIAL,Private Dwellings,1,16,5,58,1,4,1,14,,,21,2014
RESIDENTIAL,Apartments,2,8,1,10,2,15,3,18,,,21,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,21,2014
RESIDENTIAL,All Other Residential,,,,,1,10,,,,,21,2014
STRUCTURE FIRE,Public Assembly,,,,,,,1,7,,,21,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,21,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,1,4,,,,,,,21,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,21,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,21,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,21,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,21,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,21,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,21,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,21,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,1,1,,,2,10,,,21,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,1,11,,,,,,,21,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,1,10,1,13,,,21,2014
EMERGENCY RESPONSE,Emergency Medical Responses,39,43,73,78,56,66,59,60,,,21,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,21,2014
HAZARD,Hazardous Materials,3,20,4,25,3,23,3,15,,,21,2014
HAZARD,Other HazMat Responses,6,22,6,12,5,14,3,5,,,21,2014
FALSE ALARM,False Alarms (system malfunction/accidental),16,62,20,86,11,47,21,104,,,21,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,21,2014
FALSE ALARM,Other False alarms,37,55,41,79,29,66,20,46,,,21,2014
TRAINING,Training ,,,,,,,,,,,21,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,21,2014
TRAINING,Other events,,,,,,,,,,,21,2014
INSPECTION,Initial Inspections,,,,,,,,,34,,21,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,90,,21,2014
INSPECTION,Registrations,,,,,,,,,,,21,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,4,4,,,,,,,,,21,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,21,2014
FINES,Fines Imposed,,,,,,,,,,,21,2014
FINES,Fines collected,,,,,,,,,,,21,2014
RESIDENTIAL,Private Dwellings,1,10,3,41,,,,,,,22,2014
RESIDENTIAL,Apartments,4,53,4,23,,,5,36,,,22,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,22,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,22,2014
STRUCTURE FIRE,Public Assembly,1,11,,,,,1,4,,,22,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,1,8,,,22,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,22,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,22,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,22,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,22,2014
STRUCTURE FIRE,Other Structures,1,2,,,,,,,,,22,2014
NON-STRUCTURE FIRE,Highway vehicles,1,3,,,,,,,,,22,2014
NON-STRUCTURE FIRE,Other Vehicles,1,14,,,,,,,,,22,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,22,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,4,13,,,,,,,22,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,,,,,22,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,22,2014
EMERGENCY RESPONSE,Emergency Medical Responses,36,42,105,118,44,48,47,51,,,22,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,22,2014
HAZARD,Hazardous Materials,1,8,1,16,2,16,3,5,,,22,2014
HAZARD,Other HazMat Responses,3,15,6,23,3,3,3,11,,,22,2014
FALSE ALARM,False Alarms (system malfunction/accidental),7,28,11,62,6,27,15,73,,,22,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,22,2014
FALSE ALARM,Other False alarms,28,44,28,55,27,52,35,66,,,22,2014
TRAINING,Training ,,,,,,,,,,,22,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,22,2014
TRAINING,Other events,,,,,,,,,,,22,2014
INSPECTION,Initial Inspections,,,,,,,,,43,,22,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,88,,22,2014
INSPECTION,Registrations,,,,,,,,,,,22,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,7,14,,,,,,,,,22,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,22,2014
FINES,Fines Imposed,,,,,,,,,,,22,2014
FINES,Fines collected,,,,,,,,,,,22,2014
RESIDENTIAL,Private Dwellings,,,2,24,1,7,2,12,,,23,2014
RESIDENTIAL,Apartments,5,21,1,4,3,9,3,40,,,23,2014
RESIDENTIAL,Hotels and Motels,1,4,,,,,,,,,23,2014
RESIDENTIAL,All Other Residential,1,4,1,4,,,,,,,23,2014
STRUCTURE FIRE,Public Assembly,,,1,10,,,,,,,23,2014
STRUCTURE FIRE,Schools and Colleges,2,14,,,,,,,,,23,2014
STRUCTURE FIRE,Health Care and Penal Institutions,1,7,,,,,,,,,23,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,23,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,23,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,23,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,23,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,23,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,1,11,1,2,,,23,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,23,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",2,2,2,2,,,,,,,23,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,1,,,1,5,,,,,23,2014
NON-STRUCTURE FIRE,All Other Fires,1,1,,,,,1,10,,,23,2014
EMERGENCY RESPONSE,Emergency Medical Responses,40,52,109,115,37,48,43,56,,,23,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,23,2014
HAZARD,Hazardous Materials,4,14,5,12,2,2,2,15,,,23,2014
HAZARD,Other HazMat Responses,5,20,10,64,3,6,8,42,,,23,2014
FALSE ALARM,False Alarms (system malfunction/accidental),27,141,10,46,8,38,17,83,,,23,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,23,2014
FALSE ALARM,Other False alarms,25,68,35,61,19,43,20,52,,,23,2014
TRAINING,Training ,,,,,,,,,,,23,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,23,2014
TRAINING,Other events,,,,,,,,,,,23,2014
INSPECTION,Initial Inspections,,,,,,,,,40,,23,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,90,,23,2014
INSPECTION,Registrations,,,,,,,,,,,23,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,,,,,,,,,,,23,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,23,2014
FINES,Fines Imposed,,,,,,,,,,,23,2014
FINES,Fines collected,,,,,,,,,,,23,2014
RESIDENTIAL,Private Dwellings,,,1,12,1,4,,,,,24,2014
RESIDENTIAL,Apartments,2,31,4,28,1,11,3,30,,,24,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,24,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,24,2014
STRUCTURE FIRE,Public Assembly,,,,,,,2,11,,,24,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,24,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,24,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,24,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,24,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,24,2014
STRUCTURE FIRE,Other Structures,,,,,,,1,2,,,24,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,1,10,,,,,24,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,24,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,24,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",1,11,1,1,,,,,,,24,2014
