,Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
464,TWIN DISTRICT FIRE DEPARTMENT,15087,4999 WILLIAM ST PO BOX 406,LANCASTER,NY,14086,15,Erie,7166813118.0,42.880758,-78.670367,"(42.880758, -78.670367)"
465,U-CREST FIRE DEPARTMENT,15088,255 CLOVER PLACE,CHEEKTOWAGA,NY,14225,15,Erie,7166342633.0,42.923394,-78.755049,"(42.923394, -78.755049)"
466,UNION FIRE DEPARTMENT,15089,2055 UNION ROAD,WEST SENECA,NY,14224,15,Erie,7166682828.0,42.85623,-78.75457800000001,"(42.85623, -78.754578)"
467,VIGILANT FIRE DEPARTMENT,15090,666 MAIN STREET,WEST SENECA,NY,14224,15,Erie,7166741453.0,42.834015,-78.750567,"(42.834015, -78.750567)"
468,WALES CENTER FIRE DEPARTMENT,15091,12300 BIG TREE RD  BOX 124,WALES CENTER,NY,14169,15,Erie,7166521051.0,42.76789,-78.52194,"(42.76789, -78.52194)"
469,WEST FALLS FIRE DEPARTMENT,15092,1864 DAVIS RD PO BOX 140,WEST FALLS,NY,14170,15,Erie,7166521353.0,42.704738,-78.681136,"(42.704738, -78.681136)"
470,WINCHESTER FIRE DEPARTMENT,15093,514 HARLEM ROAD,WEST SENECA,NY,14224,15,Erie,7168242565.0,42.856749,-78.787801,"(42.856749, -78.787801)"
471,WOODLAWN FIRE DEPARTMENT,15095,S-3281 LAKE SHORE ROAD,BLASDELL,NY,14219,15,Erie,7168242284.0,42.796796,-78.846715,"(42.796796, -78.846715)"
473,BUFFALO FIRE DEPARTMENT,15100,195 COURT STREET,BUFFALO,NY,14202,15,Erie,7168515333.0,42.887005,-78.881198,"(42.887005, -78.881198)"
474,AUSABLE FORKS FIRE DEPARTMENT,16001,29 SCHOOL ST PO BOX 785,AUSABLE FORKS,NY,12912,16,Essex,5186475582.0,44.48598,-73.7599,"(44.48598, -73.7599)"
475,BLOOMINGDALE FIRE DEPARTMENT,16002,1635 STATE RT 3 PO BOX 226,BLOOMINGDALE,NY,12913,16,Essex,5188911770.0,44.39829,-74.07401999999999,"(44.39829, -74.07402)"
476,CHILSON FIRE DEPARTMENT,16003,60 PUTTS POND ROAD,TICONDEROGA,NY,12883,16,Essex,5185852510.0,43.874179999999996,-73.530618,"(43.87418, -73.530618)"
477,CROWN POINT FIRE DEPARTMENT,16004,2764 MAIN ST,CROWN POINT,NY,12928,16,Essex,5185973211.0,43.95112,-73.43033,"(43.95112, -73.43033)"
478,ELIZABETHTOWN FIRE DEPARTMENT,16005,22 WOODRUFF ST PO BOX 457,ELIZABETHTOWN,NY,12932,16,Essex,5188739944.0,44.214896,-73.58489300000001,"(44.214896, -73.584893)"
479,ESSEX FIRE DEPARTMENT NO. 1,16006,RTE 22W BOX 58,ESSEX,NY,12936,16,Essex,5189637619.0,44.23855,-73.40427,"(44.23855, -73.40427)"
480,JAY FIRE DEPARTMENT,16007,PO BOX 358,JAY,NY,12941,16,Essex,5189462552.0,44.389656,-73.710402,"(44.389656, -73.710402)"
481,KEENE FIRE DEPARTMENT,16008,1 EAST HILL ROAD BOX 136,KEENE,NY,12942,16,Essex,5185764301.0,44.2529,-73.78775999999999,"(44.2529, -73.78776)"
482,KEENE VALLEY FIRE DEPARTMENT,16009,"PO BOX 699, MARKET STREET",KEENE VALLEY,NY,12943,16,Essex,5185764727.0,44.189522,-73.79019,"(44.189522, -73.79019)"
483,LAKE PLACID FIRE DEPARTMENT,16011,RIVER STREET EXT PO BOX 569,LAKE PLACID,NY,12946,16,Essex,5185233211.0,44.269991999999995,-73.99269,"(44.269992, -73.99269)"
484,LEWIS FIRE DEPARTMENT,16012,18 FIRE HOUSE LA PO BOX 23,LEWIS,NY,12950,16,Essex,5188732232.0,44.30939,-73.57114,"(44.30939, -73.57114)"
485,MINEVILLE-WITHERBEE FIRE DEPT,16013,112 RAYMOND WRIGHT AVENUE,MINEVILLE,NY,12956,16,Essex,5189427126.0,44.087461,-73.52484799999999,"(44.087461, -73.524848)"
486,MORIAH FIRE DEPARTMENT,16014,630 TARBELL HILL ROAD,MORIAH,NY,12960,16,Essex,5185463749.0,44.046222,-73.50399300000001,"(44.046222, -73.503993)"
487,NEWCOMB FIRE DEPARTMENT,16015,RT 28 N,NEWCOMB,NY,12852,16,Essex,5185823093.0,43.969394,-74.158971,"(43.969394, -74.158971)"
488,NORTH HUDSON FIRE DEPARTMENT,16016,3034 US ROUTE 9,NORTH HUDSON,NY,12855,16,Essex,5185327093.0,43.960460999999995,-73.723777,"(43.960461, -73.723777)"
489,PORT HENRY FIRE DEPARTMENT,16018,14 CHURCH ST  PO BOX 182,PORT HENRY,NY,12974,16,Essex,5185467771.0,44.047595,-73.461265,"(44.047595, -73.461265)"
490,SCHROON LAKE FIRE DEPARTMENT,16020,ROUTE 9 POB 456,SCHROON LAKE,NY,12870,16,Essex,5185327477.0,43.842236,-73.766577,"(43.842236, -73.766577)"
491,TICONDEROGA FIRE DEPARTMENT,16021,PO BOX 367 MONTCALM STREET,TICONDEROGA,NY,12883,16,Essex,5185857771.0,43.848156,-73.429029,"(43.848156, -73.429029)"
492,UPPER JAY FIRE DEPARTMENT,16022,ROUTE 9N HCR BOX 38,UPPER JAY,NY,12987,16,Essex,5189467022.0,44.33509,-73.78671,"(44.33509, -73.78671)"
493,WESTPORT FIRE DEPARTMENT,16023,PO BOX 226,WESTPORT,NY,12993,16,Essex,5189624701.0,44.186946,-73.43573,"(44.186946, -73.43573)"
494,WHALLONSBURG FIRE DEPARTMENT,16025,"RT 22, BOX 399, RR1",ESSEX,NY,12936,16,Essex,5189634027.0,44.23855,-73.40427,"(44.23855, -73.40427)"
495,WILLSBORO/REBER FIRE DEPT,16026,17 FARRELL ROAD PO BOX 332,WILLSBORO,NY,12996,16,Essex,5189638316.0,44.374604999999995,-73.394636,"(44.374605, -73.394636)"
496,WILMINGTON FIRE DEPARTMENT,16027,1197 HASELTON RD PO BOX 425,WILMINGTON,NY,12997,16,Essex,5189467187.0,44.389899,-73.813516,"(44.389899, -73.813516)"
497,MINERVA FIRE DEPARTMENT,16028,ROUTE 28N PO BOX 102,OLMSTEDVILLE,NY,12857,16,Essex,5182513333.0,43.780381,-73.971037,"(43.780381, -73.971037)"
498,BANGOR FIRE DEPARTMENT,17001,2265 STATE RTE 11,NORTH BANGOR,NY,12966,17,Franklin,5184832780.0,44.0355,-73.50323,"(44.0355, -73.50323)"
499,BOMBAY FIRE DEPARTMENT,17002,1856 STATE RTE 95 PO BOX 27,BOMBAY,NY,12914,17,Franklin,5183584502.0,44.928979999999996,-74.60753000000001,"(44.92898, -74.60753)"
500,BRUSHTON FIRE DEPARTMENT,17003,816 COUNTY RD 7 PO BOX 607,BRUSHTON,NY,12916,17,Franklin,5185296007.0,44.826606,-74.521276,"(44.826606, -74.521276)"
501,BURKE FIRE DEPARTMENT,17004,1041 E MAIN ST  PO BOX 40,BURKE,NY,12917,17,Franklin,5184832787.0,44.904644,-74.168708,"(44.904644, -74.168708)"
502,CHATEAUGAY FIRE DEPARTMENT,17005,2 LAKE STREET PO BOX 911,CHATEAUGAY,NY,12920,17,Franklin,5184973135.0,44.923109000000004,-74.079339,"(44.923109, -74.079339)"
503,CONSTABLE FIRE DEPARTMENT,17006,1136 STATE RT 122 PO BX 151,CONSTABLE,NY,12926,17,Franklin,5184835908.0,44.929241999999995,-74.297668,"(44.929242, -74.297668)"
504,DICKINSON CENTER FIRE DEPT,17007,7 CHURCH STREET  PO BOX 88,DICKINSON CENTER,NY,12930,17,Franklin,5188569515.0,44.714197,-74.55287,"(44.714197, -74.55287)"
505,FORT COVINGTON FIRE DEPARTMENT,17008,2454 STATE RT 37 PO BOX 447,FORT COVINGTON,NY,12937,17,Franklin,5183582990.0,44.987784999999995,-74.498327,"(44.987785, -74.498327)"
506,HOGANSBURG FIRE DEPARTMENT,17009,818 STATE RT 37 PO BOX 426,HOGANSBURG,NY,13655,17,Franklin,5183582161.0,44.97637,-74.65243000000001,"(44.97637, -74.65243)"
507,MALONE (CALL FIREMAN) FIRE DEPT,17010,37 FINNY BLVD PO BOX 412,MALONE,NY,12953,17,Franklin,5184834853.0,44.847719,-74.300844,"(44.847719, -74.300844)"
508,MOIRA FIRE DEPARTMENT,17012,2340 COUNTY RT 5 PO BOX 122,MOIRA,NY,12957,17,Franklin,5185296010.0,44.81564,-74.56560999999999,"(44.81564, -74.56561)"
509,OWLS HEAD-MT VIEW FIRE DEPT,17013,46 RAGGED LAKE ROAD,OWLS HEAD,NY,12969,17,Franklin,5184837094.0,44.733522,-74.170683,"(44.733522, -74.170683)"
510,SARANAC LAKE FIRE DEPT,17014,100 BROADWAY PO BOX 509,SARANAC LAKE,NY,12983,17,Franklin,5188912333.0,44.329681,-74.133813,"(44.329681, -74.133813)"
511,ST REGIS FALLS FIRE DEPT,17015,PO BOX 177,ST REGIS FALLS,NY,12980,17,Franklin,5188569459.0,44.673379,-74.544539,"(44.673379, -74.544539)"
512,TUPPER LAKE FIRE DEPARTMENT,17016,21 HIGH STREET  PO BOX 849,TUPPER LAKE,NY,12986,17,Franklin,5183593530.0,44.222532,-74.464409,"(44.222532, -74.464409)"
513,WESTVILLE FIRE DEPARTMENT,17017,3891 STATE ROUTE 37,CONSTABLE,NY,12926,17,Franklin,5183584450.0,44.942971,-74.39440400000001,"(44.942971, -74.394404)"
514,PAUL SMITH-GABRIELS FIRE DEPT,17018,68 STATE RTE 86  PO BOX 145,GABRIELS,NY,12939,17,Franklin,5183273600.0,44.42558,-74.16809,"(44.42558, -74.16809)"
515,DUANE FIRE DEPARTMENT,17019,172 COUNTY ROUTE 26,MALONE,NY,12953,17,Franklin,5184830386.0,44.65922,-74.26617900000001,"(44.65922, -74.266179)"
516,BERKSHIRE FIRE DEPARTMENT,18001,320 STEELE AVENUE EXT,GLOVERSVILLE,NY,12078,18,Fulton,5187251612.0,43.05696,-74.34146,"(43.05696, -74.34146)"
517,BROADALBIN FIRE DEPARTMENT,18002,PO BOX 126,BROADALBIN,NY,12025,18,Fulton,5188833611.0,43.058493,-74.188601,"(43.058493, -74.188601)"
518,CAROGA LAKE FIRE DEPARTMENT,18003,PO BOX 882,CAROGA LAKE,NY,12032,18,Fulton,5188354137.0,43.22482,-74.51751999999999,"(43.22482, -74.51752)"
519,EPHRATAH FIRE DEPARTMENT,18004,4305 ST HWY 10,ST JOHNSVILLE,NY,13452,18,Fulton,5189933182.0,43.03743,-74.66391,"(43.03743, -74.66391)"
520,GLOVERSVILLE FIRE DEPARTMENT,18005,5 FRONTAGE ROAD,GLOVERSVILLE,NY,12078,18,Fulton,5187253125.0,43.051136,-74.348805,"(43.051136, -74.348805)"
521,HILL TOP FIRE DEPARTMENT,18006,7770 ST HWY 29,DOLGEVILLE,NY,13329,18,Fulton,3154293211.0,43.1007,-74.77266999999999,"(43.1007, -74.77267)"
522,JOHNSTOWN FIRE DEPARTMENT,18007,244 NORTH PERRY STREET,JOHNSTOWN,NY,12095,18,Fulton,5187364079.0,43.01461,-74.370377,"(43.01461, -74.370377)"
523,MAYFIELD FIRE DEPARTMENT,18008,PO BOX 722,MAYFIELD,NY,12117,18,Fulton,5186615611.0,43.101903,-74.26204399999999,"(43.101903, -74.262044)"
524,MECO FIRE DEPARTMENT,18009,1600 STATE HWAY 29A,GLOVERSVILLE,NY,12078,18,Fulton,5187251173.0,43.054883000000004,-74.378957,"(43.054883, -74.378957)"
525,NORTHVILLE FIRE DEPARTMENT,18010,PO BOX 756,NORTHVILLE,NY,12134,18,Fulton,5188638791.0,43.225192,-74.171495,"(43.225192, -74.171495)"
526,OPPENHEIM CENTER FIRE DEPARTMENT,18011,6786 STATE HWY 29,ST JOHNSVILLE,NY,13452,18,Fulton,5185682036.0,43.03743,-74.66391,"(43.03743, -74.66391)"
527,PERTH FIRE DEPARTMENT,18012,4080 ST HWY 30,AMSTERDAM,NY,12010,18,Fulton,5188838238.0,42.953559999999996,-74.17751,"(42.95356, -74.17751)"
528,PLEASANT SQUARE FIRE DEPARTMENT,18013,1208 CO HWY 122,GLOVERSVILLE,NY,12078,18,Fulton,3157254626.0,43.077022,-74.329203,"(43.077022, -74.329203)"
529,ROCKWOOD GAROGA LASSELLSVILLE FD,18014,172 CHURCH STREET,ST JOHNSVILLE,NY,13452,18,Fulton,5187627444.0,43.048973,-74.600154,"(43.048973, -74.600154)"
530,SAMMONSVILLE FIRE DEPARTMENT,18015,1362 STATE HIGHWAY 67,JOHNSTOWN,NY,12095,18,Fulton,5187621404.0,43.006624,-74.430789,"(43.006624, -74.430789)"
531,SIR WILLIAM JOHNSON FIRE DEPT,18016,224 CO HWY 131A,JOHNSTOWN,NY,12095,18,Fulton,5187621220.0,43.022279,-74.407646,"(43.022279, -74.407646)"
532,STRATFORD FIRE DEPARTMENT,18017,COUNTY ROAD 104,STRATFORD,NY,13470,18,Fulton,3154293607.0,43.19708,-74.65371999999999,"(43.19708, -74.65372)"
533,ALABAMA FIRE DEPARTMENT,19001,PO BOX 798,BASOM,NY,14013,19,Genesee,5859485760.0,43.07737,-78.39152,"(43.07737, -78.39152)"
534,ALEXANDER FIRE DEPARTMENT,19002,PO BOX 152,ALEXANDER,NY,14005,19,Genesee,5855912411.0,42.904573,-78.253454,"(42.904573, -78.253454)"
535,BATAVIA FIRE DEPT (CITY),19003,18 EVANS STREET,BATAVIA,NY,14020,19,Genesee,5853456375.0,42.995803,-78.186787,"(42.995803, -78.186787)"
536,BATAVIA FIRE DEPT (TOWN),19004,LEWISTON ROAD PO BOX 417,BATAVIA,NY,14020,19,Genesee,5853443284.0,43.007676000000004,-78.20707800000001,"(43.007676, -78.207078)"
537,BERGEN FIRE DEPARTMENT,19005,10 HUNTER ST PO BOX 428,BERGEN,NY,14416,19,Genesee,5854942100.0,43.088915,-77.942356,"(43.088915, -77.942356)"
538,BETHANY FIRE DEPARTMENT,19006,5253 OLD TELEPHONE ROAD,EAST BETHANY,NY,14054,19,Genesee,5853440535.0,42.903999,-78.130628,"(42.903999, -78.130628)"
539,BYRON FIRE DEPARTMENT,19007,6157 E MAIN ST PO BOX 210,BYRON,NY,14422,19,Genesee,5855482206.0,43.079668,-78.062161,"(43.079668, -78.062161)"
540,CORFU FIRE DEPARTMENT,19008,116 E MAIN ST PO BOX 134,CORFU,NY,14036,19,Genesee,5855993618.0,42.96277,-78.39110699999999,"(42.96277, -78.391107)"
541,DARIEN CENTER FIRE DEPARTMENT,19009,10537 ALLEGHANY RD,DARIEN,NY,14040,19,Genesee,5855479586.0,42.90119,-78.3874,"(42.90119, -78.3874)"
542,EAST PEMBROKE FIRE DEPARTMENT,19010,2623 MAIN RD PO BOX 44,EAST PEMBROKE,NY,14056,19,Genesee,5857629044.0,42.995849,-78.30763,"(42.995849, -78.30763)"
543,ELBA FIRE DEPARTMENT,19011,4 S MAIN ST PO BOX 58,ELBA,NY,14058,19,Genesee,5857579011.0,43.07027,-78.18809499999999,"(43.07027, -78.188095)"
544,LEROY FIRE DEPARTMENT,19012,4 CLAY STREET,LEROY,NY,14482,19,Genesee,5857682527.0,42.977451,-77.99238000000001,"(42.977451, -77.99238)"
545,OAKFIELD FIRE DEPARTMENT,19013,20 ALBERT ST PO BOX 184,OAKFIELD,NY,14125,19,Genesee,5859485810.0,43.06812,-78.276445,"(43.06812, -78.276445)"
546,PAVILION FIRE DEPARTMENT,19014,11302 S LAKE RD PO BOX 156,PAVILION,NY,14525,19,Genesee,5855843232.0,42.87462,-78.02323,"(42.87462, -78.02323)"
547,PEMBROKE FIRE DEPARTMENT,19015,630 MAIN ROAD,CORFU,NY,14036,19,Genesee,5855993521.0,42.998489,-78.438627,"(42.998489, -78.438627)"
548,SOUTH BYRON FIRE DEPARTMENT,19016,7389 ROUTE 237 PO BOX 22,SOUTH BYRON,NY,14557,19,Genesee,5855482451.0,43.048120000000004,-78.06573,"(43.04812, -78.06573)"
549,STAFFORD FIRE DEPARTMENT,19017,6153 MAIN ROAD PO BOX 56,STAFFORD,NY,14143,19,Genesee,5853450938.0,42.981944,-78.075399,"(42.981944, -78.075399)"
550,INDIAN FALLS FIRE DEPT,19018,8030 ALLEGHENY ROAD,CORFU,NY,14036,19,Genesee,5857628887.0,43.028914,-78.396936,"(43.028914, -78.396936)"
551,ASHLAND FIRE DEPARTMENT,20001,RD 1 BOX 49A,ASHLAND,NY,12407,20,Greene,5187343006.0,42.23923,-74.31383000000001,"(42.23923, -74.31383)"
552,ATHENS FIRE DEPARTMENT,20002,39 THIRD ST PO BOX 207,ATHENS,NY,12015,20,Greene,5189451597.0,42.28709,-73.83206,"(42.28709, -73.83206)"
553,CATSKILL FIRE DEPARTMENT,20003,422 MAIN STREET,CATSKILL,NY,12414,20,Greene,5189432520.0,42.220440999999994,-73.86591800000001,"(42.220441, -73.865918)"
554,COXSACKIE FIRE DEPARTMENT,20005,119 MANSION STREET,COXSACKIE,NY,12051,20,Greene,5184423495.0,42.355940000000004,-73.808474,"(42.35594, -73.808474)"
555,H D LANE FIRE DEPARTMENT,20006,26 BEECHER RD PO BOX 26,LANESVILLE,NY,12450,20,Greene,8456885290.0,42.120711,-74.27094100000001,"(42.120711, -74.270941)"
556,EARLTON FIRE DEPARTMENT,20007,PO BOX 187,EARLTON,NY,12058,20,Greene,5187316371.0,42.389034,-73.94632,"(42.389034, -73.94632)"
557,EAST DURHAM FIRE COMPANY,20008,PO BOX 92,EAST DURHAM,NY,12423,20,Greene,5186223856.0,42.30194,-74.0039,"(42.30194, -74.0039)"
558,EAST JEWETT FIRE DEPARTMENT,20009,PO BOX 105,EAST JEWETT,NY,12424,20,Greene,5185897180.0,42.236268,-74.145823,"(42.236268, -74.145823)"
559,FREEHOLD FIRE DEPARTMENT,20010,PO BOX 128,FREEHOLD,NY,12431,20,Greene,5186347746.0,42.34101,-74.02838,"(42.34101, -74.02838)"
560,GREENVILLE FIRE DEPARTMENT,20011,5124 RT 81 PO BOX 296,GREENVILLE,NY,12083,20,Greene,5189668911.0,42.43031,-74.01438,"(42.43031, -74.01438)"
561,HAINES FALLS FIRE DEPARTMENT,20012,PO BOX 233,HAINES FALLS,NY,12436,20,Greene,5185895138.0,42.197359999999996,-74.09495,"(42.19736, -74.09495)"
562,HENSONVILLE HOSE FIRE DEPARTMENT,20013,BOX 121,HENSONVILLE,NY,12439,20,Greene,5187343844.0,42.30849,-74.19244,"(42.30849, -74.19244)"
563,HUNTER FIRE DEPARTMENT,20014,17 BRIDGE ST PO BOX 181,HUNTER,NY,12442,20,Greene,5188214882.0,42.23276,-74.27003,"(42.23276, -74.27003)"
564,JEWETT FIRE DEPARTMENT,20015,PO BOX 201,JEWETT,NY,12444,20,Greene,5187344114.0,42.269197999999996,-74.303657,"(42.269198, -74.303657)"
565,KISKATOM FIRE DEPARTMENT,20016,4838 ROUTE 32,CATSKILL,NY,12414,20,Greene,5186789986.0,42.205433,-73.98350699999999,"(42.205433, -73.983507)"
566,LEEDS FIRE DEPARTMENT,20017,PO BOX 189,LEEDS,NY,12451,20,Greene,5189432918.0,42.30242,-73.95201,"(42.30242, -73.95201)"
567,LEXINGTON-WESTKILL FIRE DEPT,20018,2587 RTE 42 PO BOX 98,WESTKILL,NY,12492,20,Greene,5189899787.0,42.20928,-74.33664,"(42.20928, -74.33664)"
568,MEDWAY-GRAPEVILLE FIRE DEPT,20019,522 SODOM RD PO BOX 89,CLIMAX,NY,12087,20,Greene,5187318527.0,42.39509,-73.88342,"(42.39509, -73.88342)"
569,CORNEL HOOK & LADDER FIRE DEPT,20020,BOX 400,NEW BALTIMORE,NY,12124,20,Greene,5187568222.0,42.445640000000004,-73.78939,"(42.44564, -73.78939)"
570,OAK HILL-DURHAM FIRE DEPT,20021,PO BOX 51,OAK HILL,NY,12460,20,Greene,5182394837.0,42.405905,-74.154555,"(42.405905, -74.154555)"
571,PALENVILLE FIRE DEPARTMENT,20022,717 ROUTE 32A PO BOX 540,PALENVILLE,NY,12463,20,Greene,5186783311.0,42.173988,-74.019269,"(42.173988, -74.019269)"
572,PRATTSVILLE FIRE DEPARTMENT,20023,PO BOX 416,PRATTSVILLE,NY,12468,20,Greene,5182993288.0,42.314859999999996,-74.43290999999999,"(42.31486, -74.43291)"
573,ROUND TOP FIRE DEPARTMENT,20024,PO BOX 61,ROUND TOP,NY,12473,20,Greene,5186229509.0,42.26404,-74.03671,"(42.26404, -74.03671)"
574,TANNERSVILLE FIRE DEPARTMENT,20025,PO BOX 671,TANNERSVILLE,NY,12485,20,Greene,5185896095.0,42.1946,-74.1535,"(42.1946, -74.1535)"
575,WINDHAM HOSE FIRE DEPARTMENT,20026,PO BOX 3,WINDHAM,NY,12496,20,Greene,5187343883.0,42.33651,-74.26059000000001,"(42.33651, -74.26059)"
576,WEST ATHENS-LIMESTREET FIRE DEPT,20027,337 VOSENKILL ROAD,ATHENS,NY,12015,20,Greene,5189432347.0,42.259029999999996,-73.87549,"(42.25903, -73.87549)"
577,BLUE MOUNTAIN LAKE FIRE DEPT,21001,RT 28 MAIN ST,BLUE MOUNTAIN LAKE,NY,12812,21,Hamilton,5183527740.0,43.837990000000005,-74.42681,"(43.83799, -74.42681)"
578,HOPE FIRE DEPARTMENT,21002,HC 1 RT 30,NORTHVILLE,NY,12134,21,Hamilton,5189242562.0,43.2268,-74.17638000000001,"(43.2268, -74.17638)"
579,INDIAN LAKE FIRE DEPARTMENT,21003,MAIN STREET PO BOX 773,INDIAN LAKE,NY,12842,21,Hamilton,5186485651.0,43.755829999999996,-74.28429,"(43.75583, -74.28429)"
580,INLET FIRE DEPARTMENT,21004,PO BOX 300,INLET,NY,13360,21,Hamilton,3153576601.0,43.72586,-74.73557,"(43.72586, -74.73557)"
581,LAKE PLEASANT FIRE DEPARTMENT,21005,PO BOX 545,LAKE PLEASANT,NY,12108,21,Hamilton,5185483485.0,43.454857000000004,-74.40261,"(43.454857, -74.40261)"
582,LONG LAKE FIRE DEPARTMENT,21006,1204 RT 30 PO BOX 576,LONG LAKE,NY,12847,21,Hamilton,5186244599.0,43.905390000000004,-74.51266,"(43.90539, -74.51266)"
584,PISECO FIRE DEPARTMENT,21008,RT 8 BOX 40,LAKE PLEASANT,NY,12108,21,Hamilton,5185485700.0,43.55342,-74.43809,"(43.55342, -74.43809)"
585,RAQUETTE LAKE FIRE DEPARTMENT,21009,PO BOX 160,RAQUETTE LAKE,NY,13436,21,Hamilton,3153544471.0,43.87131,-74.55318,"(43.87131, -74.55318)"
586,SPECULATOR FIRE DEPARTMENT,21010,RTE 30 & 8 PO BOX 371,SPECULATOR,NY,12164,21,Hamilton,5185486648.0,43.559090000000005,-74.35659,"(43.55909, -74.35659)"
587,WELLS FIRE DEPARTMENT,21011,ROUTE 30 BOX 400,WELLS,NY,12190,21,Hamilton,5189243473.0,43.473440000000004,-74.27389000000001,"(43.47344, -74.27389)"
588,BIG MOOSE FIRE DEPARTMENT,22001,BIG MOOSE ROAD,EAGLE BAY,NY,13331,22,Herkimer,3153573475.0,43.848964,-74.998,"(43.848964, -74.998)"
589,CEDARVILLE FIRE DEPARTMENT,22002,960 STATE ROUTE 51,ILION,NY,13357,22,Herkimer,3158225377.0,42.930954,-75.114118,"(42.930954, -75.114118)"
590,DOLGEVILLE FIRE DEPARTMENT,22003,20 S HELMER AVENUE,DOLGEVILLE,NY,13329,22,Herkimer,3154298261.0,43.102632,-74.77331,"(43.102632, -74.77331)"
591,EAGLE BAY FIRE DEPARTMENT,22004,5516 RT 28 PO BOX 102,EAGLE BAY,NY,13331,22,Herkimer,3153573414.0,43.81793,-74.87234000000001,"(43.81793, -74.87234)"
592,EAST HERKIMER FIRE DEPARTMENT,22005,PO BOX 95,HERKIMER,NY,13350,22,Herkimer,3158661140.0,43.030341,-74.966574,"(43.030341, -74.966574)"
593,FRANKFORT FIRE DEPARTMENT,22006,158 SOUTH LITCHFIELD STREET,FRANKFORT,NY,13340,22,Herkimer,3158945621.0,43.038152000000004,-75.073291,"(43.038152, -75.073291)"
594,FRANKFORT CENTER FIRE DEPARTMENT,22007,799 CENTER ROAD,FRANKFORT,NY,13340,22,Herkimer,3157331937.0,43.068163,-75.153911,"(43.068163, -75.153911)"
595,FRANKFORT HILL FIRE DEPARTMENT,22008,2235 ALBANY ROAD,FRANKFORT,NY,13340,22,Herkimer,3155340613.0,43.03529,-75.184729,"(43.03529, -75.184729)"
596,HERKIMER FIRE DEPARTMENT,22010,125 N WASHINGTON STREET,HERKIMER,NY,13350,22,Herkimer,3158662242.0,43.027172,-74.985612,"(43.027172, -74.985612)"
597,ILION FIRE DEPARTMENT,22011,1 CENTRAL AVENUE,ILION,NY,13357,22,Herkimer,3158946048.0,43.016373,-75.034995,"(43.016373, -75.034995)"
598,LITTLE FALLS FIRE DEPARTMENT,22012,659 E MAIN STREET,LITTLE FALLS,NY,13365,22,Herkimer,3158232234.0,43.044498,-74.856208,"(43.044498, -74.856208)"
599,MIDDLEVILLE FIRE DEPARTMENT,22013,41 N MAIN ST PO BOX 536,MIDDLEVILLE,NY,13406,22,Herkimer,3158913649.0,43.13783,-74.92005,"(43.13783, -74.92005)"
600,MOHAWK FIRE DEPARTMENT,22014,28 COLUMBIA ST PO BOX 261,MOHAWK,NY,13407,22,Herkimer,3158664350.0,42.9681,-74.97035,"(42.9681, -74.97035)"
601,NEWPORT FIRE DEPARTMENT,22015,POB 522,NEWPORT,NY,13416,22,Herkimer,3158458129.0,43.181643,-75.011065,"(43.181643, -75.011065)"
602,OLD FORGE FIRE DEPARTMENT,22016,114 FULTON ST PO BOX 1170,OLD FORGE,NY,13420,22,Herkimer,3153693424.0,43.71029,-74.972219,"(43.71029, -74.972219)"
603,POLAND FIRE DEPARTMENT,22017,11 CASE STREET PO BOX 117,POLAND,NY,13431-0117,22,Herkimer,3158267141.0,43.225499,-75.063924,"(43.225499, -75.063924)"
604,SALISBURY FIRE DEPARTMENT,22018,PO BOX 65,SALISBURY CENTER,NY,13454,22,Herkimer,3154295121.0,43.16,-74.76323000000001,"(43.16, -74.76323)"
605,SCHUYLER FIRE DEPARTMENT,22019,120 NEWPORT ROAD,UTICA,NY,13502,22,Herkimer,3157322348.0,43.099759999999996,-75.14985,"(43.09976, -75.14985)"
606,VAN HORNSVILLE FIRE DEPARTMENT,22020,BOX 6,VAN HORNSVILLE,NY,13475,22,Herkimer,5189933970.0,42.888740000000006,-74.83381,"(42.88874, -74.83381)"
607,WEST WINFIELD FIRE DEPARTMENT,22021,PO BOX 158,WEST WINFIELD,NY,13491,22,Herkimer,3158226223.0,42.85264,-75.17106,"(42.85264, -75.17106)"
608,ADAMS FIRE DEPARTMENT,23001,6 N MAIN ST PO BOX 52,ADAMS,NY,13605,23,Jefferson,3152324033.0,43.809476000000004,-76.02401,"(43.809476, -76.02401)"
609,ADAMS CENTER FIRE DEPARTMENT,23002,13401 N MAIN STREET,ADAMS CENTER,NY,13606,23,Jefferson,3155835533.0,43.862577,-76.006188,"(43.862577, -76.006188)"
611,ANTWERP FIRE DEPARTMENT,23004,2 VANBUREN STREET,ANTWERP,NY,13608,23,Jefferson,3156598631.0,44.198629,-75.606946,"(44.198629, -75.606946)"
612,BELLEVILLE FIRE DEPARTMENT,23005,7981 NYS RTE 289,BELLEVILLE,NY,13611,23,Jefferson,3158465510.0,43.78768,-76.13446,"(43.78768, -76.13446)"
613,BLACK RIVER FIRE DEPARTMENT,23006,218 LERAY ST PO BOX 95,BLACK RIVER,NY,13612,23,Jefferson,3157734522.0,44.016847999999996,-75.802925,"(44.016848, -75.802925)"
614,BROWNVILLE FIRE DEPARTMENT,23007,121 BROWN BOULEVARD,BROWNVILLE,NY,13615,23,Jefferson,3157827220.0,44.002990000000004,-75.9838,"(44.00299, -75.9838)"
